2024/03/26 (16:29:13) | ===> btop++ v.1.3.2
2024/03/26 (16:29:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/26 (16:29:29) | ===> btop++ v.1.3.2
2024/03/26 (16:29:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/26 (16:33:11) | ===> btop++ v.1.3.2
2024/03/26 (16:33:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/26 (16:37:43) | ===> btop++ v.1.3.2
2024/03/26 (16:37:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/26 (17:48:20) | ===> btop++ v.1.3.2
2024/03/26 (17:48:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/26 (17:54:23) | ===> btop++ v.1.3.2
2024/03/26 (17:54:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/26 (17:54:34) | ===> btop++ v.1.3.2
2024/03/26 (17:54:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/26 (19:11:22) | ===> btop++ v.1.3.2
2024/03/26 (19:11:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/26 (19:11:29) | ===> btop++ v.1.3.2
2024/03/26 (19:11:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/26 (19:11:31) | ===> btop++ v.1.3.2
2024/03/26 (19:11:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/27 (14:06:16) | ===> btop++ v.1.3.2
2024/03/27 (14:06:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
